ID,SquareFeet,Bedrooms,Bathrooms,Location,Price ($)
1,1800,3,2,New York,500000
2,2200,4,3,Los Angeles,700000
3,1500,2,1,Chicago,350000
4,3000,5,4,Miami,850000
5,1200,2,1,Houston,250000
6,2500,4,3,San Diego,780000
7,1700,3,2,Seattle,620000
8,2800,5,4,Boston,920000
9,1300,2,1,Dallas,290000
10,2100,4,3,San Jose,730000
11,1900,3,2,Austin,550000
12,2300,4,3,Denver,750000
13,1600,2,1,Phoenix,370000
14,3100,5,4,Atlanta,870000
15,1400,2,1,Las Vegas,260000
16,2600,4,3,Portland,790000
17,1800,3,2,San Antonio,640000
18,2900,5,4,Philadelphia,950000
19,1350,2,1,Charlotte,300000
20,2150,4,3,Detroit,740000
21,1950,3,2,Orlando,580000
22,2250,4,3,Tampa,770000
23,1550,2,1,Minneapolis,390000
24,3050,5,4,Baltimore,880000
25,1250,2,1,Indianapolis,270000
26,2550,4,3,Columbus,800000
27,1750,3,2,Nashville,650000
28,2750,5,4,Louisville,960000
29,1450,2,1,Milwaukee,310000
30,2050,4,3,Raleigh,760000
31,1850,3,2,Cincinnati,600000
32,2350,4,3,Kansas City,780000
33,1650,2,1,St. Louis,400000
34,3200,6,5,Sacramento,980000
35,1100,2,1,Oklahoma City,230000
36,2400,4,3,Richmond,810000
37,1850,3,2,Salt Lake City,630000
38,2950,5,4,Birmingham,990000
39,1380,2,1,Memphis,320000
40,2180,4,3,Hartford,770000
41,2000,3,2,New Orleans,590000
42,2450,4,3,Buffalo,800000
43,1700,3,2,Albany,410000
44,3300,6,5,Providence,999000
45,1230,2,1,Reno,240000
46,2700,5,4,Boise,820000
47,1500,2,1,Madison,370000
48,2850,5,4,Knoxville,850000
49,1430,2,1,Des Moines,280000
50,2080,4,3,Little Rock,720000
